"Age","Sex","Country","2020"
"0 - 4","Both sexes","Eurasian Economic Union (EAEU)",..
"0 - 4","Both sexes","EECCA",..
"0 - 4","Both sexes","CIS-11",..
"0 - 4","Both sexes","North America-2",..
"0 - 4","Both sexes","Western Balkans-6",..
"0 - 4","Both sexes","Albania",145726
"0 - 4","Both sexes","Andorra",..
"0 - 4","Both sexes","Armenia",188465
"0 - 4","Both sexes","Austria",434795
"0 - 4","Both sexes","Azerbaijan",676755
"0 - 4","Both sexes","Belarus",501689
"0 - 4","Both sexes","Belgium",604826
"0 - 4","Both sexes","Bosnia and Herzegovina",145755
"0 - 4","Both sexes","Bulgaria",317438
"0 - 4","Both sexes","Canada",1918870
"0 - 4","Both sexes","Croatia",181979
"0 - 4","Both sexes","Cyprus",47407
"0 - 4","Both sexes","Czechia",568042
"0 - 4","Both sexes","Denmark",308869
"0 - 4","Both sexes","Estonia",70778
"0 - 4","Both sexes","Finland",251458
"0 - 4","Both sexes","France",3655739
"0 - 4","Both sexes","Georgia",260561
"0 - 4","Both sexes","Germany",3965257
"0 - 4","Both sexes","Greece",457960
"0 - 4","Both sexes","Hungary",469070
"0 - 4","Both sexes","Iceland",21594
"0 - 4","Both sexes","Ireland",308277
"0 - 4","Both sexes","Israel",915396
"0 - 4","Both sexes","Italy",2240524
"0 - 4","Both sexes","Kazakhstan",..
"0 - 4","Both sexes","Kyrgyzstan",805437
"0 - 4","Both sexes","Latvia",100727
"0 - 4","Both sexes","Liechtenstein",1867
"0 - 4","Both sexes","Lithuania",142871
"0 - 4","Both sexes","Luxembourg",33118
"0 - 4","Both sexes","Malta",23714
"0 - 4","Both sexes","Monaco",..
"0 - 4","Both sexes","Montenegro",36625
"0 - 4","Both sexes","Netherlands",859549
"0 - 4","Both sexes","North Macedonia",106037
"0 - 4","Both sexes","Norway",286511
"0 - 4","Both sexes","Poland",1913409
"0 - 4","Both sexes","Portugal",436118
"0 - 4","Both sexes","Republic of Moldova",162470
"0 - 4","Both sexes","Romania",1008877
"0 - 4","Both sexes","Russian Federation",..
"0 - 4","Both sexes","San Marino",1258
"0 - 4","Both sexes","Serbia",319911
"0 - 4","Both sexes","Slovakia",294555
"0 - 4","Both sexes","Slovenia",100068
"0 - 4","Both sexes","Spain",1969069
"0 - 4","Both sexes","Sweden",598397
"0 - 4","Both sexes","Switzerland",437406
"0 - 4","Both sexes","Tajikistan",..
"0 - 4","Both sexes","Turkiye",6233421
"0 - 4","Both sexes","Turkmenistan",..
"0 - 4","Both sexes","Ukraine",1747496
"0 - 4","Both sexes","United Kingdom",..
"0 - 4","Both sexes","United States",19281212
"0 - 4","Both sexes","Uzbekistan",3701536
"0 - 4","Female","UNECE-56",..
"0 - 4","Female","European Union-27",..
"0 - 4","Female","Euro area-20",..
"0 - 4","Female","Eurasian Economic Union (EAEU)",..
"0 - 4","Female","EECCA",..
"0 - 4","Female","CIS-11",..
"0 - 4","Female","North America-2",..
"0 - 4","Female","Western Balkans-6",..
"0 - 4","Female","Albania",70717
"0 - 4","Female","Andorra",..
"0 - 4","Female","Armenia",89398
"0 - 4","Female","Austria",211326
"0 - 4","Female","Azerbaijan",317156
"0 - 4","Female","Belarus",243772
"0 - 4","Female","Belgium",295978
"0 - 4","Female","Bosnia and Herzegovina",70084
"0 - 4","Female","Bulgaria",154348
"0 - 4","Female","Canada",935420
"0 - 4","Female","Croatia",88610
"0 - 4","Female","Cyprus",23144
"0 - 4","Female","Czechia",277056
"0 - 4","Female","Denmark",150114
"0 - 4","Female","Estonia",34282
"0 - 4","Female","Finland",122911
"0 - 4","Female","France",1790375
"0 - 4","Female","Georgia",125797
"0 - 4","Female","Germany",1931360
"0 - 4","Female","Greece",222901
"0 - 4","Female","Hungary",228003
"0 - 4","Female","Iceland",10414
"0 - 4","Female","Ireland",150846
"0 - 4","Female","Israel",470462
"0 - 4","Female","Italy",1089502
"0 - 4","Female","Kazakhstan",..
"0 - 4","Female","Kyrgyzstan",392172
"0 - 4","Female","Latvia",48484
"0 - 4","Female","Liechtenstein",909
"0 - 4","Female","Lithuania",69354
"0 - 4","Female","Luxembourg",16282
"0 - 4","Female","Malta",11437
"0 - 4","Female","Monaco",..
"0 - 4","Female","Montenegro",17643
"0 - 4","Female","Netherlands",419043
"0 - 4","Female","North Macedonia",51188
"0 - 4","Female","Norway",139004
"0 - 4","Female","Poland",930644
"0 - 4","Female","Portugal",213310
"0 - 4","Female","Republic of Moldova",78617
"0 - 4","Female","Romania",490720
"0 - 4","Female","Russian Federation",..
"0 - 4","Female","San Marino",616
"0 - 4","Female","Serbia",154869
"0 - 4","Female","Slovakia",143573
"0 - 4","Female","Slovenia",48488
"0 - 4","Female","Spain",956649
"0 - 4","Female","Sweden",290673
"0 - 4","Female","Switzerland",213001
"0 - 4","Female","Tajikistan",..
"0 - 4","Female","Turkiye",3035976
"0 - 4","Female","Turkmenistan",..
"0 - 4","Female","Ukraine",845640
"0 - 4","Female","United Kingdom",..
"0 - 4","Female","United States",9424059
"0 - 4","Female","Uzbekistan",1774794
"0 - 4","Male","UNECE-56",..
"0 - 4","Male","European Union-27",..
"0 - 4","Male","Euro area-20",..
"0 - 4","Male","Eurasian Economic Union (EAEU)",..
"0 - 4","Male","EECCA",..
"0 - 4","Male","CIS-11",..
"0 - 4","Male","North America-2",..
"0 - 4","Male","Western Balkans-6",..
"0 - 4","Male","Albania",75009
"0 - 4","Male","Andorra",..
"0 - 4","Male","Armenia",99067
"0 - 4","Male","Austria",223469
"0 - 4","Male","Azerbaijan",359599
"0 - 4","Male","Belarus",257917
"0 - 4","Male","Belgium",308848
"0 - 4","Male","Bosnia and Herzegovina",75671
"0 - 4","Male","Bulgaria",163090
"0 - 4","Male","Canada",983450
"0 - 4","Male","Croatia",93369
"0 - 4","Male","Cyprus",24263
"0 - 4","Male","Czechia",290986
"0 - 4","Male","Denmark",158755
"0 - 4","Male","Estonia",36496
"0 - 4","Male","Finland",128546
"0 - 4","Male","France",1865363
"0 - 4","Male","Georgia",134764
"0 - 4","Male","Germany",2033896
"0 - 4","Male","Greece",235059
"0 - 4","Male","Hungary",241066
"0 - 4","Male","Iceland",11180
"0 - 4","Male","Ireland",157430
"0 - 4","Male","Israel",444934
"0 - 4","Male","Italy",1151021
"0 - 4","Male","Kazakhstan",..
"0 - 4","Male","Kyrgyzstan",413265
"0 - 4","Male","Latvia",52243
"0 - 4","Male","Liechtenstein",958
"0 - 4","Male","Lithuania",73517
"0 - 4","Male","Luxembourg",16836
"0 - 4","Male","Malta",12277
"0 - 4","Male","Monaco",..
"0 - 4","Male","Montenegro",18982
"0 - 4","Male","Netherlands",440505
"0 - 4","Male","North Macedonia",54849
"0 - 4","Male","Norway",147507
"0 - 4","Male","Poland",982765
"0 - 4","Male","Portugal",222808
"0 - 4","Male","Republic of Moldova",83853
"0 - 4","Male","Romania",518157
"0 - 4","Male","Russian Federation",..
"0 - 4","Male","San Marino",642
"0 - 4","Male","Serbia",165042
"0 - 4","Male","Slovakia",150981
"0 - 4","Male","Slovenia",51580
"0 - 4","Male","Spain",1012419
"0 - 4","Male","Sweden",307723
"0 - 4","Male","Switzerland",224405
"0 - 4","Male","Tajikistan",..
"0 - 4","Male","Turkiye",3197445
"0 - 4","Male","Turkmenistan",..
"0 - 4","Male","Ukraine",901856
"0 - 4","Male","United Kingdom",..
"0 - 4","Male","United States",9857153
"0 - 4","Male","Uzbekistan",1926742
"5 - 9","Both sexes","UNECE-56",..
"5 - 9","Both sexes","European Union-27",..
"5 - 9","Both sexes","Euro area-20",..
"5 - 9","Both sexes","Eurasian Economic Union (EAEU)",..
"5 - 9","Both sexes","EECCA",..
"5 - 9","Both sexes","CIS-11",..
"5 - 9","Both sexes","North America-2",..
"5 - 9","Both sexes","Western Balkans-6",..
"5 - 9","Both sexes","Albania",162949
"5 - 9","Both sexes","Andorra",..
"5 - 9","Both sexes","Armenia",208977
"5 - 9","Both sexes","Austria",426763
"5 - 9","Both sexes","Azerbaijan",860239
"5 - 9","Both sexes","Belarus",571663
"5 - 9","Both sexes","Belgium",660347
"5 - 9","Both sexes","Bosnia and Herzegovina",161637
"5 - 9","Both sexes","Bulgaria",338411
"5 - 9","Both sexes","Canada",2046207
"5 - 9","Both sexes","Croatia",193833
"5 - 9","Both sexes","Cyprus",48763
"5 - 9","Both sexes","Czechia",560176
"5 - 9","Both sexes","Denmark",303480
"5 - 9","Both sexes","Estonia",72134
"5 - 9","Both sexes","Finland",303618
"5 - 9","Both sexes","France",4092192
"5 - 9","Both sexes","Georgia",264732
"5 - 9","Both sexes","Germany",3755269
"5 - 9","Both sexes","Greece",505799
"5 - 9","Both sexes","Hungary",457085
"5 - 9","Both sexes","Iceland",23025
"5 - 9","Both sexes","Ireland",342156
"5 - 9","Both sexes","Israel",876261
"5 - 9","Both sexes","Italy",2603148
"5 - 9","Both sexes","Kazakhstan",..
"5 - 9","Both sexes","Kyrgyzstan",758105
"5 - 9","Both sexes","Latvia",101289
"5 - 9","Both sexes","Liechtenstein",1892
"5 - 9","Both sexes","Lithuania",145401
"5 - 9","Both sexes","Luxembourg",34126
"5 - 9","Both sexes","Malta",23563
"5 - 9","Both sexes","Monaco",..
"5 - 9","Both sexes","Montenegro",36454
"5 - 9","Both sexes","Netherlands",905625
"5 - 9","Both sexes","North Macedonia",115403
"5 - 9","Both sexes","Norway",312934
"5 - 9","Both sexes","Poland",1923536
"5 - 9","Both sexes","Portugal",450274
"5 - 9","Both sexes","Republic of Moldova",166722
"5 - 9","Both sexes","Romania",961431
"5 - 9","Both sexes","Russian Federation",..
"5 - 9","Both sexes","San Marino",1635
"5 - 9","Both sexes","Serbia",328770
"5 - 9","Both sexes","Slovakia",290028
"5 - 9","Both sexes","Slovenia",109590
"5 - 9","Both sexes","Spain",2312369
"5 - 9","Both sexes","Sweden",622219
"5 - 9","Both sexes","Switzerland",437516
"5 - 9","Both sexes","Tajikistan",..
"5 - 9","Both sexes","Turkiye",6493816
"5 - 9","Both sexes","Turkmenistan",..
"5 - 9","Both sexes","Ukraine",2326255
"5 - 9","Both sexes","United Kingdom",..
"5 - 9","Both sexes","United States",20336862
"5 - 9","Both sexes","Uzbekistan",3299633
"5 - 9","Female","UNECE-56",..
"5 - 9","Female","European Union-27",..
"5 - 9","Female","Euro area-20",..
"5 - 9","Female","Eurasian Economic Union (EAEU)",..
"5 - 9","Female","EECCA",..
"5 - 9","Female","CIS-11",..
"5 - 9","Female","North America-2",..
"5 - 9","Female","Western Balkans-6",..
"5 - 9","Female","Albania",80413
"5 - 9","Female","Andorra",..
"5 - 9","Female","Armenia",97817
"5 - 9","Female","Austria",206665
"5 - 9","Female","Azerbaijan",400776
"5 - 9","Female","Belarus",277995
"5 - 9","Female","Belgium",322572
"5 - 9","Female","Bosnia and Herzegovina",78561
"5 - 9","Female","Bulgaria",164362
"5 - 9","Female","Canada",999666
"5 - 9","Female","Croatia",93788
"5 - 9","Female","Cyprus",23675
"5 - 9","Female","Czechia",273021
"5 - 9","Female","Denmark",147977
"5 - 9","Female","Estonia",35192
"5 - 9","Female","Finland",148324
"5 - 9","Female","France",2003672
"5 - 9","Female","Georgia",127172
"5 - 9","Female","Germany",1825762
"5 - 9","Female","Greece",245910
"5 - 9","Female","Hungary",222220
"5 - 9","Female","Iceland",11298
"5 - 9","Female","Ireland",167037
"5 - 9","Female","Israel",449749
"5 - 9","Female","Italy",1263997
"5 - 9","Female","Kazakhstan",..
"5 - 9","Female","Kyrgyzstan",369309
"5 - 9","Female","Latvia",48969
"5 - 9","Female","Liechtenstein",879
"5 - 9","Female","Lithuania",70878
"5 - 9","Female","Luxembourg",16581
"5 - 9","Female","Malta",11331
"5 - 9","Female","Monaco",..
"5 - 9","Female","Montenegro",17485
"5 - 9","Female","Netherlands",441512
"5 - 9","Female","North Macedonia",55594
"5 - 9","Female","Norway",152503
"5 - 9","Female","Poland",934788
"5 - 9","Female","Portugal",220012
"5 - 9","Female","Republic of Moldova",81193
"5 - 9","Female","Romania",467597
"5 - 9","Female","Russian Federation",..
"5 - 9","Female","San Marino",804
"5 - 9","Female","Serbia",159418
"5 - 9","Female","Slovakia",141570
"5 - 9","Female","Slovenia",53104
"5 - 9","Female","Spain",1120333
"5 - 9","Female","Sweden",301995
"5 - 9","Female","Switzerland",212513
"5 - 9","Female","Tajikistan",..
"5 - 9","Female","Turkiye",3160879
"5 - 9","Female","Turkmenistan",..
"5 - 9","Female","Ukraine",1127645
"5 - 9","Female","United Kingdom",..
"5 - 9","Female","United States",9929582
"5 - 9","Female","Uzbekistan",1588516
"5 - 9","Male","UNECE-56",..
"5 - 9","Male","European Union-27",..
"5 - 9","Male","Euro area-20",..
"5 - 9","Male","Eurasian Economic Union (EAEU)",..
"5 - 9","Male","EECCA",..
"5 - 9","Male","CIS-11",..
"5 - 9","Male","North America-2",..
"5 - 9","Male","Western Balkans-6",..
"5 - 9","Male","Albania",82536
"5 - 9","Male","Andorra",..
"5 - 9","Male","Armenia",111160
"5 - 9","Male","Austria",220098
"5 - 9","Male","Azerbaijan",459463
"5 - 9","Male","Belarus",293668
"5 - 9","Male","Belgium",337774
"5 - 9","Male","Bosnia and Herzegovina",83076
"5 - 9","Male","Bulgaria",174049
"5 - 9","Male","Canada",1046541
"5 - 9","Male","Croatia",100044
"5 - 9","Male","Cyprus",25088
"5 - 9","Male","Czechia",287155
"5 - 9","Male","Denmark",155503
"5 - 9","Male","Estonia",36942
"5 - 9","Male","Finland",155294
"5 - 9","Male","France",2088519
"5 - 9","Male","Georgia",137559
"5 - 9","Male","Germany",1929507
"5 - 9","Male","Greece",259889
"5 - 9","Male","Hungary",234865
"5 - 9","Male","Iceland",11726
"5 - 9","Male","Ireland",175118
"5 - 9","Male","Israel",426512
"5 - 9","Male","Italy",1339150
"5 - 9","Male","Kazakhstan",..
"5 - 9","Male","Kyrgyzstan",388796
"5 - 9","Male","Latvia",52320
"5 - 9","Male","Liechtenstein",1012
"5 - 9","Male","Lithuania",74523
"5 - 9","Male","Luxembourg",17545
"5 - 9","Male","Malta",12232
"5 - 9","Male","Monaco",..
"5 - 9","Male","Montenegro",18969
"5 - 9","Male","Netherlands",464113
"5 - 9","Male","North Macedonia",59809
"5 - 9","Male","Norway",160431
"5 - 9","Male","Poland",988748
"5 - 9","Male","Portugal",230262
"5 - 9","Male","Republic of Moldova",85529
"5 - 9","Male","Romania",493834
"5 - 9","Male","Russian Federation",..
"5 - 9","Male","San Marino",831
"5 - 9","Male","Serbia",169352
"5 - 9","Male","Slovakia",148458
"5 - 9","Male","Slovenia",56486
"5 - 9","Male","Spain",1192036
"5 - 9","Male","Sweden",320224
"5 - 9","Male","Switzerland",225003
"5 - 9","Male","Tajikistan",..
"5 - 9","Male","Turkiye",3332937
"5 - 9","Male","Turkmenistan",..
"5 - 9","Male","Ukraine",1198610
"5 - 9","Male","United Kingdom",..
"5 - 9","Male","United States",10407280
"5 - 9","Male","Uzbekistan",1711117
"10 - 14","Both sexes","UNECE-56",..
"10 - 14","Both sexes","European Union-27",..
"10 - 14","Both sexes","Euro area-20",..
"10 - 14","Both sexes","Eurasian Economic Union (EAEU)",..
"10 - 14","Both sexes","EECCA",..
"10 - 14","Both sexes","CIS-11",..
"10 - 14","Both sexes","North America-2",..
"10 - 14","Both sexes","Western Balkans-6",..
"10 - 14","Both sexes","Albania",164433
"10 - 14","Both sexes","Andorra",..
"10 - 14","Both sexes","Armenia",201575
"10 - 14","Both sexes","Austria",422715
"10 - 14","Both sexes","Azerbaijan",778710
"10 - 14","Both sexes","Belarus",517513
"10 - 14","Both sexes","Belgium",673602
"10 - 14","Both sexes","Bosnia and Herzegovina",178346
"10 - 14","Both sexes","Bulgaria",344786
"10 - 14","Both sexes","Canada",2073456
"10 - 14","Both sexes","Croatia",202367
"10 - 14","Both sexes","Cyprus",46873
"10 - 14","Both sexes","Czechia",586753
"10 - 14","Both sexes","Denmark",338601
"10 - 14","Both sexes","Estonia",75674
"10 - 14","Both sexes","Finland",310872
"10 - 14","Both sexes","France",4249738
"10 - 14","Both sexes","Georgia",236654
"10 - 14","Both sexes","Germany",3714003
"10 - 14","Both sexes","Greece",555368
"10 - 14","Both sexes","Hungary",493129
"10 - 14","Both sexes","Iceland",23984
"10 - 14","Both sexes","Ireland",352807
"10 - 14","Both sexes","Israel",794271
"10 - 14","Both sexes","Italy",2838377
"10 - 14","Both sexes","Kazakhstan",..
"10 - 14","Both sexes","Kyrgyzstan",606430
"10 - 14","Both sexes","Latvia",102066
"10 - 14","Both sexes","Liechtenstein",1927
"10 - 14","Both sexes","Lithuania",134283
"10 - 14","Both sexes","Luxembourg",33491
"10 - 14","Both sexes","Malta",21957
"10 - 14","Both sexes","Monaco",..
"10 - 14","Both sexes","Montenegro",38247
"10 - 14","Both sexes","Netherlands",953741
"10 - 14","Both sexes","North Macedonia",113553
"10 - 14","Both sexes","Norway",326413
"10 - 14","Both sexes","Poland",2022619
"10 - 14","Both sexes","Portugal",503414
"10 - 14","Both sexes","Republic of Moldova",155821
"10 - 14","Both sexes","Romania",1058851
"10 - 14","Both sexes","Russian Federation",..
"10 - 14","Both sexes","San Marino",1755
"10 - 14","Both sexes","Serbia",335994
"10 - 14","Both sexes","Slovakia",281424
"10 - 14","Both sexes","Slovenia",107108
"10 - 14","Both sexes","Spain",2536795
"10 - 14","Both sexes","Sweden",615693
"10 - 14","Both sexes","Switzerland",425671
"10 - 14","Both sexes","Tajikistan",..
"10 - 14","Both sexes","Turkiye",6413053
"10 - 14","Both sexes","Turkmenistan",..
"10 - 14","Both sexes","Ukraine",2259511
"10 - 14","Both sexes","United Kingdom",..
"10 - 14","Both sexes","United States",21682996
"10 - 14","Both sexes","Uzbekistan",3021883
"10 - 14","Female","UNECE-56",..
"10 - 14","Female","European Union-27",..
"10 - 14","Female","Euro area-20",..
"10 - 14","Female","Eurasian Economic Union (EAEU)",..
"10 - 14","Female","EECCA",..
"10 - 14","Female","CIS-11",..
"10 - 14","Female","North America-2",..
"10 - 14","Female","Western Balkans-6",..
"10 - 14","Female","Albania",80119
"10 - 14","Female","Andorra",..
"10 - 14","Female","Armenia",94272
"10 - 14","Female","Austria",205922
"10 - 14","Female","Azerbaijan",362259
"10 - 14","Female","Belarus",252115
"10 - 14","Female","Belgium",328911
"10 - 14","Female","Bosnia and Herzegovina",86718
"10 - 14","Female","Bulgaria",167617
"10 - 14","Female","Canada",1017464
"10 - 14","Female","Croatia",98529
"10 - 14","Female","Cyprus",22909
"10 - 14","Female","Czechia",286275
"10 - 14","Female","Denmark",164756
"10 - 14","Female","Estonia",36812
"10 - 14","Female","Finland",152000
"10 - 14","Female","France",2075410
"10 - 14","Female","Georgia",112392
"10 - 14","Female","Germany",1803373
"10 - 14","Female","Greece",269869
"10 - 14","Female","Hungary",240358
"10 - 14","Female","Iceland",11627
"10 - 14","Female","Ireland",172049
"10 - 14","Female","Israel",406891
"10 - 14","Female","Italy",1376216
"10 - 14","Female","Kazakhstan",..
"10 - 14","Female","Kyrgyzstan",297034
"10 - 14","Female","Latvia",49894
"10 - 14","Female","Liechtenstein",905
"10 - 14","Female","Lithuania",65627
"10 - 14","Female","Luxembourg",16326
"10 - 14","Female","Malta",10579
"10 - 14","Female","Monaco",..
"10 - 14","Female","Montenegro",18205
"10 - 14","Female","Netherlands",465193
"10 - 14","Female","North Macedonia",54931
"10 - 14","Female","Norway",158933
"10 - 14","Female","Poland",985947
"10 - 14","Female","Portugal",246789
"10 - 14","Female","Republic of Moldova",75750
"10 - 14","Female","Romania",514697
"10 - 14","Female","Russian Federation",..
"10 - 14","Female","San Marino",839
"10 - 14","Female","Serbia",163018
"10 - 14","Female","Slovakia",136961
"10 - 14","Female","Slovenia",52019
"10 - 14","Female","Spain",1227230
"10 - 14","Female","Sweden",298848
"10 - 14","Female","Switzerland",206882
"10 - 14","Female","Tajikistan",..
"10 - 14","Female","Turkiye",3121457
"10 - 14","Female","Turkmenistan",..
"10 - 14","Female","Ukraine",1096696
"10 - 14","Female","United Kingdom",..
"10 - 14","Female","United States",10579666
"10 - 14","Female","Uzbekistan",1467234
"10 - 14","Male","UNECE-56",..
"10 - 14","Male","European Union-27",..
"10 - 14","Male","Euro area-20",..
"10 - 14","Male","Eurasian Economic Union (EAEU)",..
"10 - 14","Male","EECCA",..
"10 - 14","Male","CIS-11",..
"10 - 14","Male","North America-2",..
"10 - 14","Male","Western Balkans-6",..
"10 - 14","Male","Albania",84314
"10 - 14","Male","Andorra",..
"10 - 14","Male","Armenia",107303
"10 - 14","Male","Austria",216793
